分拣中心,出现路由数
A46分拣,9583
A10分拣,7409
A45分拣,6458
A5分拣,3621
A102分拣,3617
A6分拣,3488
A104分拣,3406
A73分拣,3350
A18分拣,3275
A77分拣,3271
A15分拣,3137
A76分拣,2985
A2分拣,2901
A1分拣,2855
A91分拣,2830
A64分拣,2811
A42分拣,2618
A69分拣,2517
A24分拣,2475
A9分拣,2406
A68分拣,2406
A16分拣,2404
A11分拣,2397
A61分拣,2376
A62分拣,2293
A17分拣,2223
A56分拣,2189
A28分拣,2186
A72分拣,2155
A86分拣,1957
A82分拣,1894
A13分拣,1721
A67分拣,1716
A101分拣,1712
A74分拣,1690
A57分拣,1679
A19分拣,1647
A98分拣,1639
A80分拣,1639
A75分拣,1618
A21分拣,1567
A84分拣,1531
A59分拣,1523
A37分拣,1517
A49分拣,1453
A87分拣,1446
A27分拣,1425
A31分拣,1404
A36分拣,1392
A47分拣,1346
A44分拣,1277
A95分拣,1275
A51分拣,1227
A35分拣,1226
A63分拣,1226
A100分拣,1220
A60分拣,1218
A92分拣,1217
A88分拣,1215
A55分拣,1213
A32分拣,1190
A3分拣,1190
A58分拣,1181
A14分拣,1167
A65分拣,1152
A66分拣,1135
A40分拣,1129
A39分拣,1122
A4分拣,1104
A8分拣,1097
A96分拣,1065
A93分拣,1063
A29分拣,1063
A71分拣,1032
A48分拣,1023
A81分拣,997
A34分拣,991
A85分拣,988
A43分拣,971
A52分拣,957
A12分拣,949
A50分拣,913
A78分拣,871
A90分拣,862
A33分拣,853
A22分拣,848
A41分拣,831
A30分拣,804
A79分拣,785
A20分拣,724
A25分拣,682
南阳分拣中心,199
A89分拣,102
