等级,排名,分拣中心,综合分,枢纽度,流量度,出现次数,起点,中转,终点,中转占比,平均深度,上游,下游,日均经过货量,OD覆盖数,现有设备,格口,产能,角色倾向
S,1,A46分拣,78.9,96.4,99.4,1278,88,1126,64,88.1%,1.24,31,47,567707.0,1278,分拣机2,421,200000,枢纽型
S,2,A10分拣,66.7,74.6,95.3,818,88,699,31,85.5%,1.2,19,49,434562.0,818,分拣机2,436,200000,枢纽型
S,3,A45分拣,63.6,66.0,100.0,671,84,562,25,83.8%,1.06,15,45,590020.0,671,分拣机2,343,200000,枢纽型
S,4,A102分拣,60.6,54.4,96.6,518,86,341,91,65.8%,1.14,33,32,471993.0,518,分拣机2,433,200000,枢纽型
A,5,A104分拣,57.4,40.5,97.9,345,84,170,91,49.3%,1.21,34,24,513914.0,345,分拣机2,456,200000,混合型
A,6,A18分拣,55.9,54.7,87.6,615,84,440,91,71.5%,1.33,24,20,262391.0,615,分拣机2,554,200000,枢纽型
A,7,A91分拣,54.8,47.1,88.4,434,87,281,66,64.7%,1.06,17,33,275864.0,434,分拣机1,314,100000,枢纽型
A,8,A19分拣,54.7,31.0,96.7,281,86,104,91,37.0%,1.26,25,21,475336.0,281,分拣机2,608,200000,混合型
A,9,A1分拣,54.7,45.5,93.9,475,85,299,91,62.9%,1.26,33,8,395503.0,475,分拣机1,551,100000,枢纽型
A,10,A77分拣,54.5,49.0,85.7,485,85,315,85,64.9%,1.3,15,35,231424.0,485,分拣机2,271,200000,枢纽型
A,11,A68分拣,54.3,40.3,90.4,376,88,197,91,52.4%,1.3,25,24,314403.0,376,分拣机2,436,200000,混合型
A,12,A56分拣,54.2,47.4,89.7,419,87,295,37,70.4%,1.17,19,26,301595.0,419,分拣机4,78,30000,枢纽型
A,13,A24分拣,54.1,37.2,98.7,327,86,184,57,56.3%,1.22,13,25,540289.0,327,分拣机2,375,200000,混合型
A,14,A16分拣,53.2,39.6,88.3,371,86,194,91,52.3%,1.36,26,21,274969.0,371,分拣机2,506,200000,混合型
A,15,A17分拣,53.2,42.6,87.8,410,83,236,91,57.6%,1.18,12,34,266035.0,410,分拣机2,458,200000,混合型
A,16,A11分拣,53.0,39.6,87.7,370,85,194,91,52.4%,1.12,20,27,263696.0,370,分拣机1,362,100000,混合型
A,17,A42分拣,52.5,45.7,85.8,475,82,302,91,63.6%,1.19,18,23,232781.0,475,分拣机2,398,200000,枢纽型
A,18,A15分拣,52.4,48.8,80.5,519,85,343,91,66.1%,1.2,6,37,164348.0,519,分拣机2,313,200000,枢纽型
A,19,A2分拣,52.1,44.8,82.9,407,85,263,59,64.6%,1.21,23,22,192982.0,407,分拣机2,698,200000,枢纽型
