排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
1,A46分拣,S,78.9,96.4,99.4,76.4,1278,88,1126,64,6.9%,88.1%,5.0%,1.24,0,4,31,47,78,9.5%,A62分拣,47,A73分拣,291.0,164218.0,567707.0,1278,16.28%,分拣机2,421,200000,枢纽型
2,A10分拣,S,66.7,74.6,95.3,61.5,818,88,699,31,10.8%,85.5%,3.8%,1.2,0,3,19,49,68,13.0%,A9分拣,48,A67分拣,155.0,299168.0,434562.0,818,10.42%,分拣机2,436,200000,枢纽型
3,A45分拣,S,63.6,66.0,100.0,55.4,671,84,562,25,12.5%,83.8%,3.7%,1.06,0,3,15,45,60,11.8%,A24分拣,45,A46分拣,128.0,323440.0,590020.0,671,8.55%,分拣机2,343,200000,枢纽型
4,A102分拣,S,60.6,54.4,96.6,56.3,518,86,341,91,16.6%,65.8%,17.6%,1.14,0,4,33,32,65,10.6%,A63分拣,29,A46分拣,166004.0,173444.0,471993.0,518,6.60%,分拣机2,433,200000,枢纽型
5,A104分拣,A,57.4,40.5,97.9,55.2,345,84,170,91,24.3%,49.3%,26.4%,1.21,0,4,34,24,58,13.4%,A10分拣,21,A45分拣,266834.0,202858.0,513914.0,345,4.40%,分拣机2,456,200000,混合型
6,A18分拣,A,55.9,54.7,87.6,48.3,615,84,440,91,13.7%,71.5%,14.8%,1.33,0,3,24,20,44,13.0%,A46分拣,20,A30分拣,106618.0,81119.0,262391.0,615,7.84%,分拣机2,554,200000,枢纽型
7,A91分拣,A,54.8,47.1,88.4,50.9,434,87,281,66,20.0%,64.7%,15.2%,1.06,0,4,17,33,50,13.8%,A46分拣,30,A5分拣,163.0,172813.0,275864.0,434,5.53%,分拣机1,314,100000,枢纽型
8,A19分拣,A,54.7,31.0,96.7,54.3,281,86,104,91,30.6%,37.0%,32.4%,1.26,0,4,25,21,46,24.6%,A15分拣,14,A98分拣,163191.0,284814.0,475336.0,281,3.58%,分拣机2,608,200000,混合型
9,A1分拣,A,54.7,45.5,93.9,46.7,475,85,299,91,17.9%,62.9%,19.2%,1.26,0,4,33,8,41,21.5%,A90分拣,8,A69分拣,206185.0,106177.0,395503.0,475,6.05%,分拣机1,551,100000,枢纽型
10,A77分拣,A,54.5,49.0,85.7,50.2,485,85,315,85,17.5%,64.9%,17.5%,1.3,0,5,15,35,50,48.0%,A28分拣,35,A10分拣,545.0,127688.0,231424.0,485,6.18%,分拣机2,271,200000,枢纽型
11,A68分拣,A,54.3,40.3,90.4,51.8,376,88,197,91,23.4%,52.4%,24.2%,1.3,0,4,25,24,49,13.9%,A46分拣,20,A60分拣,156624.0,78030.0,314403.0,376,4.79%,分拣机2,436,200000,混合型
12,A56分拣,A,54.2,47.4,89.7,49.1,419,87,295,37,20.8%,70.4%,8.8%,1.17,0,4,19,26,45,12.3%,A13分拣,26,A46分拣,276.0,116206.0,301595.0,419,5.34%,分拣机4,78,30000,枢纽型
13,A24分拣,A,54.1,37.2,98.7,48.6,327,86,184,57,26.3%,56.3%,17.4%,1.22,0,3,13,25,38,35.7%,A6分拣,25,A45分拣,68.0,495656.0,540289.0,327,4.17%,分拣机2,375,200000,混合型
14,A16分拣,A,53.2,39.6,88.3,50.6,371,86,194,91,23.2%,52.3%,24.5%,1.36,0,4,26,21,47,13.7%,A46分拣,21,A46分拣,173541.0,6313.0,274969.0,371,4.73%,分拣机2,506,200000,混合型
15,A17分拣,A,53.2,42.6,87.8,48.7,410,83,236,91,20.2%,57.6%,22.2%,1.18,0,4,12,34,46,47.4%,A64分拣,33,A18分拣,174.0,217302.0,266035.0,410,5.22%,分拣机2,458,200000,混合型
16,A11分拣,A,53.0,39.6,87.7,50.4,370,85,194,91,23.0%,52.4%,24.6%,1.12,0,4,20,27,47,23.2%,A8分拣,24,A80分拣,121659.0,111849.0,263696.0,370,4.71%,分拣机1,362,100000,混合型
17,A42分拣,A,52.5,45.7,85.8,46.1,475,82,302,91,17.3%,63.6%,19.2%,1.19,0,3,18,23,41,14.2%,A44分拣,23,A46分拣,63202.0,49931.0,232781.0,475,6.05%,分拣机2,398,200000,枢纽型
18,A15分拣,A,52.4,48.8,80.5,47.4,519,85,343,91,16.4%,66.1%,17.5%,1.2,0,4,6,37,43,37.8%,A73分拣,37,A47分拣,1778.0,97914.0,164348.0,519,6.61%,分拣机2,313,200000,枢纽型
19,A2分拣,A,52.1,44.8,82.9,48.9,407,85,263,59,20.9%,64.6%,14.5%,1.21,0,3,23,22,45,11.5%,A6分拣,22,A10分拣,78052.0,65028.0,192982.0,407,5.19%,分拣机2,698,200000,枢纽型
20,A5分拣,A,51.5,45.1,87.6,41.9,519,85,343,91,16.4%,66.1%,17.5%,1.52,0,4,24,5,29,16.1%,A91分拣,5,A6分拣,181338.0,33606.0,262697.0,519,6.61%,分拣机2,497,200000,枢纽型
21,A69分拣,A,51.5,41.0,86.9,45.5,421,85,247,89,20.2%,58.7%,21.1%,1.32,0,5,7,30,37,69.0%,A1分拣,27,A56分拣,139.0,200168.0,250396.0,421,5.36%,分拣机1,270,100000,混合型
22,A64分拣,A,51.3,39.1,88.7,44.8,398,82,225,91,20.6%,56.5%,22.9%,1.36,0,3,27,9,36,10.1%,A77分拣,9,A17分拣,223689.0,23063.0,280786.0,398,5.07%,分拣机2,544,200000,混合型
23,A76分拣,A,51.3,34.3,88.3,48.2,331,84,156,91,25.4%,47.1%,27.5%,1.34,0,4,28,11,39,13.4%,A10分拣,9,A8分拣,105431.0,97326.0,273643.0,331,4.22%,分拣机1,388,100000,混合型
24,A86分拣,A,50.5,32.8,81.9,51.7,312,89,132,91,28.5%,42.3%,29.2%,1.21,0,4,23,19,42,17.9%,A71分拣,18,A10分拣,83394.0,79697.0,180285.0,312,3.98%,分拣机1,381,100000,混合型
